Gene,Mutation CDF
2-MAR,0.7864848090783927
1110038B12RIK,0.32333382461890137
1700030A11RIK,0.7423261269646093
1700031A10RIK,0.3457614477485237
1700097N02RIK,0.46463903956603303
2300002M23RIK,0.4564866739651216
2310061I04RIK,0.392205700067496
2410017I17RIK,0.3307436322180043
2410137M14RIK,0.3307436322180043
4833413E03RIK,0.3533642264425757
4833427F10RIK,0.3533642264425757
4921501E09RIK,0.8858980195064106
4930539E08RIK,0.5055552997637276
4931413I07RIK,0.3382203653561903
A930015D03RIK,0.32333382461890137
ABCF1,0.3457614477485237
ABCG1,0.3533642264425757
ABHD16A,0.46463903956603303
ACTL9,0.5137453325696992
ADAMTS10,0.9322157602036122
AGER,0.40807355145298707
AGPAT1,0.3457614477485237
AIF1,0.392205700067496
AKAP8,0.32333382461890137
AKAP8L,0.3307436322180043
ANGPTL4,0.44835258379040765
APOM,0.36102597454444907
ATAT1,0.36102597454444907
ATF6B,0.4321527256015544
ATP6V1G2,0.37651511907242724
B3GALT4,0.7743387560479207
BAG6,0.3382203653561903
BC004004,0.9348645336416923
BC033916,0.5055552997637276
BC051142,0.7288908427095422
BC051226,0.5055552997637276
BC051537,0.7864848090783927
BRD2,0.8205591215490331
BRD4,0.538266904125979
BRPF3,0.47280627678975723
BTBD9,0.6493509641013738
BTNL1,0.5301045729548909
BTNL2,0.9512184757259706
BTNL4,1.0
BTNL5-PS,0.9999999999998973
BTNL6,0.9999999924864296
BTNL7-PS,0.9571374059819168
C2,0.37651511907242724
C4A,0.9399204124908657
C4B,0.836235994000696
C920025E04RIK,0.32333382461890137
CBS,0.6644505340240783
CCDC167,0.3457614477485237
CCHCR1,0.5137453325696992
CD320,0.3457614477485237
CDKN1A,0.9491062343366398
CFB,0.32333382461890137
CLIC1,0.36874389409229646
CMTR1,0.40807355145298707
COL11A2,0.9999466096916964
CPNE5,0.44835258379040765
CR974439.1,0.40807355145298707
CR974439.2,0.3307436322180043
CRYAA,0.3457614477485237
CSNK2B,0.32333382461890137
CYP21A1,0.8258864556969874
CYP21A2-PS,0.7681220685424774
CYP4F13,0.9552325274192425
CYP4F14,0.8603257118172807
CYP4F15,0.4402401498218237
CYP4F16,0.3307436322180043
CYP4F17,0.3457614477485237
CYP4F39,0.32333382461890137
CYP4F40,0.32333382461890137
CYP4F41-PS,0.9532600629520593
DAXX,0.6866041452141599
DDAH2,0.3843367185726985
DDR1,0.392205700067496
DDX39B,0.36102597454444907
DHX16,0.40807355145298707
DNAH8,0.48098496307208854
DPCR1,0.3307436322180043
DXO,0.3533642264425757
EGFL8,0.3533642264425757
EPHX3,0.48917166139007057
ESP18,0.36874389409229646
ESP23,0.3382203653561903
ESP24,0.3382203653561903
ESP31,0.42409363327682775
ESP34,0.4001190128282391
ESP36,0.32333382461890137
FGD2,0.999991684389924
FKBPL,0.3533642264425757
FLOT1,0.40807355145298707
G6B,0.36874389409229646
GABBR1,0.5301045729548909
GLO1,0.392205700067496
GLP1R,0.554539910851159
GM10045,0.5301045729548909
GM10074,0.36102597454444907
GM10499,0.32333382461890137
GM11127,0.3307436322180043
GM11131,0.36102597454444907
GM15318,0.3457614477485237
GM15320,0.8898129617709314
GM15321,0.3382203653561903
GM15329,0.3457614477485237
GM15331,0.99935343613
GM15332,0.8648386255722886
GM15821,0.8096008896739328
GM16181,0.36102597454444907
GM16191,0.392205700067496
GM16194,0.9512184757259706
GM16195,0.36102597454444907
GM16279,0.36102597454444907
GM16758,0.4001190128282391
GM17115,0.6417099050645158
GM17251,0.755407244616867
GM17276,0.538266904125979
GM17572,0.3843367185726985
GM17657,0.3457614477485237
GM17705,0.32333382461890137
GM17782,0.3307436322180043
GM18522,0.3533642264425757
GM18604,0.32333382461890137
GM18733,0.3457614477485237
GM18734,0.3307436322180043
GM18808,0.36102597454444907
GM19412,0.5707215296796996
GM19553,0.3307436322180043
GM19684,0.32333382461890137
GM19807,0.32333382461890137
GM20391,0.42409363327682775
GM20392,0.36874389409229646
GM20409,0.32333382461890137
GM20427,0.4321527256015544
GM20429,0.36874389409229646
GM20442,0.3533642264425757
GM20443,0.37651511907242724
GM20447,0.41606615950838
GM20450,0.4402401498218237
GM20451,0.3843367185726985
GM20452,0.37651511907242724
GM20453,0.3307436322180043
GM20454,0.37651511907242724
GM20460,0.3843367185726985
GM20462,0.9294845490360836
GM20463,0.32333382461890137
GM20483,0.32333382461890137
GM20493,0.6027047818008358
GM20495,0.32333382461890137
GM20496,0.8777731647724336
GM20497,0.32333382461890137
GM20506,0.9589762388484111
GM20507,0.49736292459449494
GM20508,0.3307436322180043
GM20513,0.7489117508848748
GM20523,0.32333382461890137
GM20524,0.32333382461890137
GM20525,0.4001190128282391
GM20526,0.3382203653561903
GM20530,0.3307436322180043
GM20541,0.32333382461890137
GM20542,0.3307436322180043
GM20543,0.32333382461890137
GM20546,0.36874389409229646
GM20547,0.3307436322180043
GM20549,0.37651511907242724
GM21903,0.32333382461890137
GM22327,0.42409363327682775
GM22388,0.3307436322180043
GM22453,0.36874389409229646
GM22943,0.36874389409229646
GM23111,0.5707215296796996
GM23294,0.8818849948274439
GM23421,0.3307436322180043
GM23442,0.32333382461890137
GM23887,0.32333382461890137
GM24026,0.40807355145298707
GM24389,0.36102597454444907
GM24661,0.3533642264425757
GM24970,0.32333382461890137
GM25049,0.36102597454444907
GM25104,0.3382203653561903
GM25128,0.3307436322180043
GM25447,0.36874389409229646
GM25555,0.6866041452141599
GM25667,0.4564866739651216
GM25883,0.3843367185726985
GM26549,0.392205700067496
GM26858,0.32333382461890137
GM26885,0.47280627678975723
GM26940,0.5137453325696992
GM27471,0.4564866739651216
GM27599,0.5137453325696992
GM27735,0.3382203653561903
GM27740,0.7220445991657054
GM28033,0.3457614477485237
GM28043,0.3307436322180043
GM28052,0.3533642264425757
GM318,0.3382203653561903
GM4134,0.3307436322180043
GM4152,0.9933979041231021
GM4246,0.36874389409229646
GM4252,0.36874389409229646
GM4256,0.36874389409229646
GM4271,0.41606615950838
GM4461,0.42409363327682775
GM4830,0.3457614477485237
GM4831,0.36874389409229646
GM5227,0.3307436322180043
GM5682,0.3307436322180043
GM6034,0.3307436322180043
GM6623,0.32333382461890137
GM6633,0.36102597454444907
GM6659,0.32333382461890137
GM6726,0.32333382461890137
GM7031,0.3307436322180043
GM8741,0.3533642264425757
GM8750,0.3533642264425757
GM8752,0.3382203653561903
GM8801,0.3457614477485237
GM8815,0.3307436322180043
GM8835,0.3843367185726985
GM8868,0.32333382461890137
GM8877,0.3533642264425757
GM8878,0.3843367185726985
GM9573,0.3457614477485237
GM9574,0.3307436322180043
GM9577,0.36102597454444907
GM9612,0.3533642264425757
GM9613,0.32333382461890137
GM9840,0.3457614477485237
